Disease,Symptoms,Precaution_1,Precaution_2,Precaution_3,Precaution_4,,Disease and Description,Description,Symptoms,General Explanation,Medical Explanation
hepatitis d,"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain",consult doctor,medication,eat healthy,follow up,,,,Hostile behavior,"Acting in an unfriendly, aggressive, or antagonistic way towards others. This can include verbal threats, physical aggression, or a generally uncooperative and angry demeanor.","Hostile behavior is a manifestation of anger and aggression that can stem from various underlying psychological, psychiatric, neurological, or physiological conditions. Psychiatric Disorders: Mood Disorders: Severe depression (especially with irritability), bipolar disorder (during manic or mixed episodes). Psychotic Disorders: Schizophrenia, schizoaffective disorder (especially if associated with delusions or hallucinations). Personality Disorders: Borderline personality disorder, antisocial personality disorder. Intermittent Explosive Disorder: Recurrent behavioral outbursts representing a failure to control aggressive impulses. Neurological Conditions: Dementia: As a symptom of cognitive decline. Brain Injury/Tumors: Especially affecting frontal or temporal lobes. Stroke: Epilepsy: During or after a seizure. Substance Use/Withdrawal: Alcohol or drug intoxication or withdrawal (e.g., alcohol withdrawal, opioid withdrawal). Medical Conditions: Delirium (acute confusion), infections (e.g., UTIs in elderly), endocrine disorders, severe pain, metabolic imbalances. Environmental Factors: Stress, trauma, frustration, or perceived threats."
hepatitis e,"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,Drug abuse,"Using illegal drugs, or misusing prescription or over-the-counter drugs, in a way that is harmful to your health or life (e.g., taking too much, too often, or for non-medical reasons).","Drug abuse, now typically referred to as Substance Use Disorder (SUD) in diagnostic criteria (DSM-5), is a problematic pattern of substance use leading to clinically significant impairment or distress. It is characterized by impaired control, social impairment, risky use, and pharmacological criteria (tolerance and withdrawal). Commonly Abused Substances: Opioids (prescription pain relievers, heroin), stimulants (cocaine, methamphetamine, ADHD medications), cannabis, benzodiazepines, hallucinogens, inhalants, alcohol, nicotine. Medical Consequences: Vary widely by substance but can include: Infectious Diseases: HIV, hepatitis (from needle sharing). Cardiovascular: Arrhythmias, heart attack, stroke. Neurological: Seizures, brain damage, cognitive impairment, neuropathy. Psychiatric: Worsening or induction of depression, anxiety, psychosis. Gastrointestinal: Liver damage, pancreatitis. Respiratory: Lung damage. Overdose: Potentially fatal. Treatment involves detoxification, behavioral therapies, and often medication-assisted treatment."
hepatitis e,"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,Leg cramps or spasms,"Sudden, involuntary, painful tightening of a muscle in your leg, which can last from a few seconds to several minutes. They often occur in the calf or thigh.","Leg cramps are sudden, involuntary, forceful contractions of muscles, often painful, usually in the calf, foot, or thigh. Spasms are similar, but might be less intense or more repetitive. Common/Benign Causes: Dehydration/Electrolyte Imbalance: Especially low potassium, magnesium, calcium. Muscle Fatigue/Overuse: After strenuous exercise or prolonged standing. Nocturnal Leg Cramps: Common at night, cause awakened sleep. Poor Circulation: Peripheral artery disease (PAD) can cause claudication (cramping pain with exertion). Neurological Conditions: Nerve Compression/Radiculopathy: (e.g., from a herniated disc in the back) can cause muscle spasms and cramps in the leg. Peripheral Neuropathy: Nerve damage (e.g., from diabetes). Restless Legs Syndrome: While primarily an urge to move, can involve cramp-like sensations. Motor Neuron Disease: (e.g., ALS). Medications: Diuretics, statins, beta-agonists. Other: Pregnancy, hypothyroidism, kidney failure."
hepatitis e,"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,Cramps and spasms,"Sudden, involuntary, and often painful tightening of muscles anywhere in the body. Spasms are generally less intense or prolonged than cramps.","Cramps are sudden, involuntary, painful, and often sustained contractions of one or more muscles. Spasms are more generalized involuntary muscle contractions that may or may not be painful. This is a broader category than just leg cramps. Common Causes: Dehydration/Electrolyte Imbalance: Lack of sodium, potassium, calcium, magnesium. Muscle Fatigue/Overuse: From strenuous physical activity. Nerve Compression/Irritation: Radiculopathy, carpal tunnel syndrome, direct nerve injury. Restless Legs Syndrome: Can cause cramp-like sensations. Medication Side Effects: Diuretics, statins. Neurological Conditions: Dystonia: Sustained muscle contractions causing twisting or repetitive movements. Spasticity: Increased muscle tone causing stiffness and spasms (e.g., in multiple sclerosis, cerebral palsy, stroke). Tetanus: Severe bacterial infection causing widespread muscle spasms. Hypocalcemia: Low blood calcium can lead to muscle cramps and tetany. Motor Neuron Disease (e.g., ALS). Gastrointestinal: Abdominal cramps from IBS, gastroenteritis, or menstrual cramps. Evaluation involves considering the location, triggers, duration, and associated symptoms."
hepatitis e,"vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,Skin growth,"Any new lump, bump, mole, wart, or discolored patch that appears on your skin, or an existing one that changes in size, shape, color, or texture.","A skin growth (skin lesion or neoplasm) is an abnormal proliferation of cells on or under the skin. They can be benign (non-cancerous), pre-malignant (potentially cancerous), or malignant (cancerous). Benign Growths (most common): Moles (Nevi): Common pigmented spots. Skin Tags: Small, soft, flesh-colored growths. Seborrheic Keratoses: Waxy, ""stuck-on"" looking brown or black growths. Lipomas: Soft, fatty lumps under the skin. Cysts: Sacs filled with fluid or semi-solid material. Warts: Caused by human papillomavirus (HPV). Cherry Angiomas: Small, bright red bumps. Pre-malignant Growths: Actinic Keratoses: Rough, scaly patches on sun-exposed skin. Malignant Growths (Skin Cancers): Basal Cell Carcinoma (BCC): Most common, slow-growing, often pearly or waxy. Squamous Cell Carcinoma (SCC): Red, scaly, crusty, or open sore. Melanoma: Most dangerous, often arises from moles, characterized by asymmetry, irregular borders, uneven color, and increasing diameter (ABCDE rule). Any new, changing, symptomatic, or suspicious skin growth should be evaluated by a dermatologist."
hepatitis e,"joint pain,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,Lacrimation,"Excessive tearing or watering of your eyes, more than normal for blinking or crying.","Lacrimation refers to the production of tears. Excessive lacrimation (epiphora) is often due to overproduction of tears or impaired drainage of tears. Overproduction of Tears: Eye Irritation/Inflammation: Foreign body sensation, conjunctivitis (""pink eye""), corneal abrasion, dry eyes (paradoxically, severe dry eye can trigger reflex tearing), allergies. Infections: Viral (common cold, adenovirus), bacterial. Environmental Irritants: Smoke, dust, strong winds. Allergic Reactions: Itchy, watery eyes. Impaired Tear Drainage (Blocked Tear Ducts): Nasolacrimal Duct Obstruction: Common in infants, usually resolves. Can also occur in adults due to inflammation, infection, or trauma. Eyelid Malposition: Ectropion (eyelid turned outward) can prevent tears from entering the puncta (drainage holes). Inflammation of the Tear Drainage System (Dacryocystitis). Persistent excessive tearing warrants evaluation by an ophthalmologist."
hepatitis e,"joint pain,vomiting,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,Mass on eyelid,"A lump, bump, or swelling that appears on or under your eyelid.","A mass on the eyelid can be benign (non-cancerous), inflammatory, or, less commonly, malignant (cancerous). Benign/Inflammatory: Stye (Hordeolum): A painful, red, tender lump on the edge of the eyelid, caused by a bacterial infection of an oil gland. Chalazion: A firm, painless lump on the eyelid, usually developing from a stye that has healed but left a blocked oil gland. Cyst: A small fluid-filled sac. Xanthelasma: Yellowish, fatty deposits on or around the eyelids, often associated with high cholesterol. Papilloma: Benign wart-like growth. Malignant (Less Common): Basal Cell Carcinoma (BCC): Most common eyelid cancer, often appears as a nodule with a pearly rolled border, or a non-healing sore. Squamous Cell Carcinoma (SCC): Less common, can appear as a red, scaly, or crusted nodule. Sebaceous Gland Carcinoma: Rare but aggressive. Melanoma: Very rare on eyelids. Any new, persistent, rapidly growing, bleeding, or suspicious eyelid mass should be evaluated by an ophthalmologist."
hepatitis e,"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,Pus draining from ear,"Seeing thick, yellowish, greenish, or whitish fluid coming out of your ear. It might be accompanied by pain, fever, or reduced hearing.","Pus draining from the ear (otorrhea) is a sign of infection, typically in the external ear canal or middle ear, often associated with a perforated eardrum. Otitis Externa (Swimmer's Ear): Infection of the outer ear canal, often caused by bacteria. Symptoms include pain, itching, redness, and discharge. Acute Otitis Media (AOM) with Tympanic Membrane Perforation: Middle ear infection where pressure builds up and the eardrum ruptures, releasing pus. This often provides pain relief. Symptoms include ear pain, fever, and hearing loss before the rupture, followed by discharge. Chronic Suppurative Otitis Media (CSOM): Persistent discharge from a perforated eardrum, often with hearing loss, due to chronic middle ear infection. Cholesteatoma: A benign but destructive skin growth in the middle ear that can erode bone and cause persistent ear discharge, hearing loss, and sometimes dizziness. Foreign Body in Ear Canal: Can cause irritation, infection, and discharge. Any ear discharge, especially pus, warrants medical evaluation."
hepatitis e,"joint pain,vomiting,fatigue,high fever,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,Vaginal pain,"Any discomfort, aching, or sharp pain felt in or around the vagina.","Vaginal pain is a common symptom with various gynecological, infectious, and musculoskeletal causes. Infections: Yeast Infection (Candidiasis): Often with intense itching, burning, and thick discharge. Bacterial Vaginosis (BV): Can cause irritation and discharge. Sexually Transmitted Infections (STIs): Herpes (painful sores), gonorrhea, chlamydia. Inflammation/Irritation (Vaginitis/Vulvovaginitis): From soaps, detergents, perfumes, douching, tight clothing, or chemical sensitivity. Atrophic Vaginitis: Thinning and drying of vaginal tissues due to low estrogen (e.g., menopause, breastfeeding), leading to dryness, itching, and pain. Sexual Dysfunction: Dyspareunia: Pain during sexual intercourse. Can be superficial or deep. Vaginismus: Involuntary spasm of vaginal muscles. Pelvic Floor Dysfunction: Tightness or spasm of pelvic floor muscles. Trauma: From childbirth, sexual assault, or injury. Cysts: Bartholin's cyst or abscess. Rare: Vulvar cancer. I will wait for your confirmation before providing the next set of symptoms. Here's the second and final batch of 10 symptoms from image_27d78a.png: Batch 2 of 10"
hepatitis e,"joint pain,vomiting,fatigue,high fever,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,Abnormal appearing skin,"Any unusual change in the color, texture, shape, or feel of your skin, or the appearance of new spots, rashes, or growths.","""Abnormal appearing skin"" is a broad term encompassing a vast array of dermatological manifestations, ranging from common benign conditions to serious systemic diseases or malignancies. Rashes: Can be macules (flat spots), papules (raised bumps), vesicles (blisters), pustules (pus-filled bumps), plaques (raised, flat-topped lesions), or urticaria (hives). Causes include infections (viral, bacterial, fungal), allergic reactions (contact dermatitis, drug eruptions), autoimmune diseases (lupus, psoriasis, eczema), or inflammatory conditions. Discoloration: Redness (Erythema): Due to inflammation, infection (e.g., cellulitis), or allergic reactions. Pallor: Unusually pale skin, often due to anemia or poor circulation. Jaundice: Yellowing of skin and eyes, indicating liver dysfunction or excessive red blood cell breakdown. Hyperpigmentation/Hypopigmentation: Darkening or lightening of skin (e.g., melasma, vitiligo). Texture Changes: Dryness, scaling, thickening, or thinning. Growths: New moles, warts, skin tags, or suspicious lesions that could indicate skin cancer (basal cell carcinoma, squamous cell carcinoma, melanoma). Infections: Bacterial (impetigo, folliculitis), fungal (ringworm, athlete's foot), viral (herpes, shingles). Any new, changing, painful, or persistent skin abnormality warrants medical evaluation."
hepatitis e,"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",stop alcohol consumption,rest,consult doctor,medication,,,,Neck swelling,A noticeable enlargement or puffiness in the neck area. This can be localized to a specific spot or more diffuse.,"Neck swelling can arise from various structures within the neck, including lymph nodes, salivary glands, the thyroid gland, or other soft tissues. Lymph Node Enlargement (Lymphadenopathy): Most common cause, usually due to infection (e.g., viral upper respiratory infection, strep throat, mononucleosis) or inflammation. Less commonly, can be due to malignancy (lymphoma, metastatic cancer). Thyroid Gland Issues: Goiter: Enlargement of the thyroid gland, which can be diffuse or nodular. Thyroid Nodules/Cysts/Tumors: Benign or malignant growths within the thyroid. Salivary Gland Swelling: Inflammation (sialadenitis, e.g., mumps) or stones (sialolithiasis). Infections: Abscess: Collection of pus in neck tissues. Cellulitis: Bacterial infection of the skin and subcutaneous tissue. Cervical Lymphadenitis: Inflamed lymph nodes due to infection. Cysts: Benign congenital cysts (e.g., branchial cleft cyst, thyroglossal duct cyst). Allergic Reaction (Angioedema): Rapid swelling of deeper skin layers. Tumors: Laryngeal, pharyngeal, or other head and neck cancers. The presence of pain, tenderness, redness, rapid growth, or associated symptoms helps in diagnosis."
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,Skin on leg or foot looks infected,"The skin on your leg or foot appears red, swollen, warm, painful, and possibly has pus or open sores, suggesting a bacterial or fungal infection.","Skin infection on the leg or foot commonly manifests with signs of inflammation and localized or spreading infection. Bacterial Infections: Cellulitis: A common bacterial infection of the deeper layers of skin and subcutaneous tissue, causing rapidly spreading redness, warmth, pain, and swelling. Often unilateral. Can be serious if untreated. Erysipelas: A superficial form of cellulitis with sharply defined, raised, red borders. Impetigo: Superficial skin infection, often with crusting, more common in children. Abscess: A localized collection of pus under the skin. Fungal Infections: Athlete's Foot (Tinea Pedis): Common fungal infection of the feet, causing itching, redness, scaling, and sometimes blisters. Can lead to secondary bacterial infections. Toenail Fungus (Onychomycosis): Thick, discolored, crumbling nails. Other: Diabetic Foot Ulcers: Chronic non-healing wounds, prone to infection due to neuropathy and poor circulation. Venous Stasis Ulcers: Open sores due to chronic venous insufficiency, can become infected. Individuals with diabetes, peripheral vascular disease, or compromised immune systems are at higher risk for these infections."
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,Foot or toe swelling,"Your foot or one or more of your toes appear puffy, enlarged, or distended, often making shoes feel tight.","Foot or toe swelling is a common presentation of peripheral edema, but can also indicate localized inflammation or injury. Localized Causes: Injury/Trauma: Sprains, fractures, direct impact. Inflammation: Gout (acute, painful swelling of a single joint, often the big toe) or other forms of arthritis. Infection: Cellulitis, abscess, ingrown toenail with infection. Bunion/Hammertoe: Deformities that can cause localized swelling and pain. Unilateral Systemic Causes (affecting one foot/leg): Deep Vein Thrombosis (DVT): Blood clot in a leg vein. Chronic Venous Insufficiency: Damage to leg veins. Lymphedema: Impaired lymphatic drainage. Bilateral Systemic Causes (affecting both feet/legs): Congestive Heart Failure (CHF): Fluid backup from the heart. Kidney Disease/Failure: Impaired fluid excretion. Liver Cirrhosis: Reduced albumin production. Medications: Calcium channel blockers, NSAIDs. Prolonged Standing/Sitting. Pregnancy."
alcoholic hepatitis,"yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,Swollen eye,One or both of your eyelids or the area around your eye looks puffy or enlarged.,"Swollen eye (periorbital edema) can result from inflammation, infection, fluid retention, or allergic reactions. Allergic Reactions: Common cause, often with itching, redness, and watery eyes. Can be localized (e.g., contact with allergen) or part of a systemic reaction (angioedema). Infections: Conjunctivitis (""Pink Eye""): Inflammation of the conjunctiva, often with redness, discharge, and swelling. Stye (Hordeolum)/Chalazion: Localized inflammation/infection of eyelid glands, causing a lump and swelling. Periorbital/Preseptal Cellulitis: Bacterial infection of the eyelid and skin around the eye, causing redness, warmth, pain, and swelling. Orbital Cellulitis: More serious infection behind the eye, can cause proptosis (bulging eye) and vision changes. Medical emergency. Trauma: Direct injury to the eye or surrounding area. Systemic Conditions: Kidney Disease/Nephrotic Syndrome: Can cause generalized edema, often noticeable around the eyes. Thyroid Eye Disease (Graves' Ophthalmopathy): Autoimmune condition causing inflammation and swelling of eye muscles and tissues. Congestive Heart Failure: (less common to primarily present as eye swelling). Blocked Tear Duct: Can cause swelling and redness near the inner corner of the eye."
alcoholic hepatitis,"vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,Irregular appearing nails,"Your fingernails or toenails look unusual, such as being discolored, brittle, thickened, pitted, ridged, or separated from the nail bed.","Irregular appearing nails (onychology) can provide clues to underlying dermatological, systemic, or nutritional conditions. Fungal Infection (Onychomycosis): Most common cause, especially in toenails. Causes thickening, discoloration (yellow, brown, white), brittleness, and crumbling. Trauma: Repeated minor trauma or a single significant injury can cause nail changes. Psoriasis: A chronic autoimmune skin condition that can affect nails, causing pitting, thickening, discoloration, crumbling, and onycholysis (separation of the nail from the nail bed). Lichen Planus: Inflammatory skin condition that can cause thinning, ridging, or loss of nails. Nutritional Deficiencies: Iron deficiency (spoon-shaped nails - koilonychia), zinc deficiency (Beau's lines, white spots). Thyroid Disorders: Brittle nails. Systemic Diseases: Chronic kidney disease (half-and-half nails), liver cirrhosis (Terry's nails), heart conditions (clubbing). Melanoma: Subungual melanoma (dark streak under the nail). Aging: Nails naturally thicken and become more brittle with age. Evaluation involves visual inspection, and sometimes fungal cultures or biopsy."
alcoholic hepatitis,"vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,Paresthesia,"A sensation of tingling, ""pins and needles,"" numbness, burning, or prickling on your skin, usually in your hands, feet, arms, or legs, without any visible physical cause.","Paresthesia is an abnormal sensation, typically ""pins and needles"" or tingling, that is usually due to dysfunction or irritation of nerves. Nerve Compression/Entrapment: Peripheral Neuropathy: Damage to peripheral nerves, often symmetrical and affecting hands and feet (""stocking-glove"" distribution). Common causes include diabetes, vitamin deficiencies (B12), alcohol abuse, kidney failure, autoimmune diseases. Radiculopathy: Nerve root compression in the spine (e.g., from a herniated disc in the neck causing arm paresthesia or in the lower back causing leg paresthesia). Carpal Tunnel Syndrome: Compression of the median nerve in the wrist, causing tingling/numbness in the thumb, index, middle, and half of the ring finger. Cubital Tunnel Syndrome: Compression of the ulnar nerve at the elbow, causing tingling/numbness in the ring and pinky fingers. Central Nervous System Issues: Stroke, multiple sclerosis (MS), brain tumor (less common but can cause localized paresthesia). Vascular Issues: Reduced blood flow to a limb. Medication Side Effects: Certain chemotherapy drugs. Anxiety/Hyperventilation: Can cause transient tingling around the mouth and in the extremities. Migraine: Can have an aura with paresthesia. Investigation aims to identify the specific nerve(s) or area of the nervous system affected."
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,White discharge from eye,"Seeing whitish, yellowish-white, or stringy discharge coming from your eye, often accumulating in the corners of your eye, especially in the morning.","White or yellowish-white discharge from the eye typically indicates inflammation or infection of the conjunctiva (the membrane lining the eyelids and covering the white part of the eye). Bacterial Conjunctivitis (""Pink Eye""): Common cause, characterized by thick, purulent (pus-like) discharge that can cause eyelids to stick together, especially after sleep. Often unilateral initially, then bilateral. Viral Conjunctivitis: Often causes watery discharge, but can also produce some whitish, stringy mucus. Usually starts in one eye and spreads to the other. Allergic Conjunctivitis: Often causes clear, watery discharge, but chronic irritation can lead to more mucoid (whitish, stringy) discharge, especially with itching and redness. Blepharitis: Inflammation of the eyelids, often at the base of the eyelashes, causing chronic irritation, redness, and crusting/flaky discharge, especially in the morning. Blocked Tear Duct: Can lead to chronic tearing and mild, whitish discharge from stagnant tears and secondary infection. Dry Eye Syndrome: Can cause compensatory tearing and stringy mucus. Purulent discharge strongly suggests bacterial infection."
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,Lump in throat,"A feeling that there's a lump, tightness, or a foreign object stuck in your throat, even when there's nothing actually there. It doesn't usually interfere with swallowing food or liquids.","A ""lump in throat"" sensation (globus pharyngeus or globus sensation) is a common complaint that usually has a benign cause. True anatomical lumps are less common but must be ruled out. Globus Sensation (Functional): Most common cause. A feeling of a lump or tightness that is not painful and does not interfere with swallowing food or liquids. Often worsened by stress, anxiety, or emotional upset. It's often due to increased muscle tension in the throat or esophageal spasms. Gastroesophageal Reflux Disease (GERD)/Laryngopharyngeal Reflux (LPR): Acid reflux irritating the throat and upper esophagus can cause a chronic lump sensation, especially after eating or when lying down. Muscle Tension Dysphonia: Overuse or misuse of throat muscles, leading to a sense of tightness. Thyroid Disorders: An enlarged thyroid gland (goiter) or thyroid nodules can cause a palpable mass and a sensation of a lump or pressure. Zenker's Diverticulum: A pouch in the esophagus where food can collect, causing regurgitation and sometimes a lump sensation. Tumors: Although rare, persistent or progressive lump sensation, especially with true difficulty swallowing (dysphagia), pain, or weight loss, warrants evaluation for esophageal, pharyngeal, or laryngeal cancer."
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,Flatulence,"Passing gas from your digestive system, usually with a distinctive sound and sometimes an odor. It's a natural bodily function but can become excessive or bothersome.","Flatulence refers to the expulsion of gas from the digestive tract through the anus. Intestinal gas is primarily composed of odorless gases (nitrogen, oxygen, carbon dioxide, hydrogen, and sometimes methane) and sulfur-containing gases that produce odor. Dietary Factors (Most Common): High-fiber Foods: Beans, lentils, fruits, vegetables, whole grains. FODMAPs: Fermentable Oligo-, Di-, Mono-saccharides And Polyols (e.g., in certain fruits, vegetables, dairy, sweeteners) are poorly absorbed and fermented by gut bacteria. Carbonated Drinks: Introduce swallowed air. Lactose Intolerance/Other Food Intolerances: Inability to digest certain sugars leads to fermentation. Swallowed Air (Aerophagia): Eating too fast, chewing gum, smoking, drinking through a straw. Gastrointestinal Disorders: Irritable Bowel Syndrome (IBS): Often associated with increased gas, bloating, and abdominal pain. Small Intestinal Bacterial Overgrowth (SIBO): Excessive bacteria in the small intestine. Malabsorption Syndromes: Celiac disease, pancreatic insufficiency. Constipation: Can worsen gas production. Changes in Gut Microbiota. While normal, excessive or symptomatic flatulence may indicate an underlying digestive issue. That completes all the symptoms from image_27d78a.png. Now, I will proceed to the symptoms from image_27d3aa.png. Please confirm if you are ready. Here's the first batch of 10 symptoms from image_27d3aa.png: Batch 1 of 10"
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption",stop alcohol consumption,consult doctor,medication,follow up,,,,Lip swelling,Your lips appear larger or puffier than usual. This can range from mild puffiness to significant enlargement.,"Lip swelling (cheilitis or angioedema of the lips) can be caused by various factors, including allergic reactions, infections, inflammation, or trauma. Allergic Reaction (Angioedema): This is a common and often concerning cause. It involves swelling of the deeper layers of the skin, often in response to allergens (foods, medications like ACE inhibitors, insect stings). It can be rapid in onset and, if severe, may extend to the tongue and throat, potentially compromising the airway. Infections: Herpes Simplex Virus (Cold Sores): Before or during an outbreak, lips can swell. Cellulitis: Bacterial infection of the skin. Inflammatory Conditions: Cheilitis Granulomatosa: A rare inflammatory condition causing persistent lip swelling. Crohn's Disease: Can manifest with oral symptoms including lip swelling. Trauma: Injury to the lips. Dental Issues: Infection or inflammation from a nearby tooth or gum. Systemic Conditions: Hypothyroidism (can cause diffuse swelling)."
alcoholic hepatitis,"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",stop alcohol consumption,consult doctor,medication,follow up,,,,Skin lesion,"Any abnormal spot, bump, patch, or change on your skin that wasn't there before or has changed in appearance.","A skin lesion is any area of the skin that has undergone an abnormal change. These can be primary (original problem) or secondary (result from primary lesion or external factors). Primary Lesions: Macule: Flat, discolored spot (e.g., freckle). Papule: Small, raised bump (e.g., mole, wart). Nodule: Larger, deeper solid lump. Vesicle/Bulla: Small/large fluid-filled blister (e.g., herpes, chickenpox). Pustule: Pus-filled lesion (e.g., acne, folliculitis). Plaque: Flat-topped, elevated area (e.g., psoriasis). Wheal (Hives): Raised, itchy, red welts (e.g., allergic reaction). Secondary Lesions: Crusts, scales, ulcers, fissures, scars, atrophy. Causes: Infections (bacterial, viral, fungal, parasitic), inflammatory conditions (eczema, dermatitis), allergic reactions, autoimmune diseases, benign growths (moles, skin tags), pre-malignant changes (actinic keratoses), and skin cancers (basal cell carcinoma, squamous cell carcinoma, melanoma). Any changing, symptomatic, or suspicious lesion requires dermatological evaluation."
tuberculosis,"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",cover mouth,consult doctor,medication,rest,,,,Acne or pimples,"Breakouts of bumps on your skin, commonly on the face, neck, chest, or back. These can include blackheads, whiteheads, red bumps (papules), or pus-filled bumps (pustules).","Acne vulgaris is a common chronic inflammatory skin condition affecting hair follicles and sebaceous (oil) glands. Pathophysiology: Involves four main factors: Increased Sebum Production: Overactive oil glands. Follicular Hyperkeratinization: Dead skin cells and oil clog hair follicles. Bacterial Proliferation: Propionibacterium acnes (now Cutibacterium acnes) thrives in clogged follicles. Inflammation: The body's immune response to the bacteria and clogged follicle. Types of Lesions: Comedones (blackheads and whiteheads), papules (small red bumps), pustules (pus-filled bumps), nodules (large, painful solid lumps), and cysts (deep, pus-filled lesions). Triggers/Contributing Factors: Hormonal fluctuations (androgens, common in puberty, pregnancy), genetics, certain medications, stress, high glycemic diet, and mechanical irritation. Treatment ranges from topical creams, oral antibiotics, hormonal therapies, to isotretinoin for severe cases."
tuberculosis,"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",cover mouth,consult doctor,medication,rest,,,,Problems with movement,"Any difficulty, abnormality, or involuntary actions when trying to move your body, a limb, or even just coordinating movements.","""Problems with movement"" is a broad term encompassing a wide range of motor dysfunctions, often indicating neurological, musculoskeletal, or systemic issues. Weakness (Paresis/Paralysis): Reduced or absent muscle strength, due to nerve damage, muscle disease, stroke, or spinal cord injury. Involuntary Movements: Tremor, tics, dystonia, chorea, myoclonus (as explained previously). Ataxia: Lack of muscle coordination leading to unsteady gait, clumsy movements, or difficulty with fine motor tasks, often due to cerebellar dysfunction. Spasticity/Rigidity: Increased muscle tone causing stiffness and resistance to movement (e.g., in multiple sclerosis, cerebral palsy, Parkinson's disease). Bradykinesia: Slowness of movement (e.g., Parkinson's disease). Gait Disorders: Abnormalities in walking (e.g., shuffling, wide-based, unsteady). Balance Issues: Difficulty maintaining equilibrium. Pain-Related: Movement may be limited or altered due to pain from musculoskeletal injuries (e.g., arthritis, fractures) or nerve pain. A thorough neurological and physical examination is crucial for diagnosis."
